"";"cmpt";"qtd_contratos";"tot_prov_cen3"
"1";2018-01-01;1890862;3857635314,88344
"2";2018-07-01;1890862;21730118771,1622
"3";2019-01-01;1890862;33004535432,9741
"4";2019-07-01;1890862;45112182357,7973
"5";2020-01-01;1890862;69927204946,0683
"6";2020-07-01;1890862;85754230818,7738
"7";2021-01-01;1890862;121378417653,382
"8";2021-07-01;1890862;139823842215,774
"9";2022-01-01;1890862;173062139301,192
"10";2022-07-01;1890862;185480394380,599
"11";2023-01-01;1890862;208950575963,588
"12";2023-07-01;1890862;216742817454,142
"13";2024-01-01;1890862;228204238760,478
"14";2024-07-01;1890862;231243119182,678
"15";2025-01-01;1890862;233310213375,761
"16";2025-07-01;1890862;233521424656,142
"17";2026-01-01;1890862;231324010776,479
"18";2026-07-01;1890862;229238737723,2
"19";2027-01-01;1890862;227123570457,5
"20";2027-07-01;1890862;225290122209,7
"21";2028-01-01;1890862;222216580363,4
"22";2028-07-01;1890862;219896640969,5
"23";2029-01-01;1890862;217219446591,4
"24";2029-07-01;1890862;215348756159,2
"25";2030-01-01;1890862;210912979740,1
"26";2030-07-01;1890862;207093383014,2
