"";"cmpt";"qtd_contratos";"tot_prov_cen4"
"1";2018-01-01;1890862;2028217634,32641
"2";2018-07-01;1890862;2809318039,22533
"3";2019-01-01;1890862;3532775736,96148
"4";2019-07-01;1890862;5108686513,40358
"5";2020-01-01;1890862;6072438085,66416
"6";2020-07-01;1890862;8352744417,99338
"7";2021-01-01;1890862;9564930839,25867
"8";2021-07-01;1890862;11577748960,2142
"9";2022-01-01;1890862;12102554677,8691
"10";2022-07-01;1890862;13620070204,8524
"11";2023-01-01;1890862;14250637076,9286
"12";2023-07-01;1890862;15538469930,8351
"13";2024-01-01;1890862;16114079986,4971
"14";2024-07-01;1890862;16317244913,0832
"15";2025-01-01;1890862;16404143822,6148
"16";2025-07-01;1890862;16465761592,5522
"17";2026-01-01;1890862;16435989896,8188
"18";2026-07-01;1890862;16463716278,7995
"19";2027-01-01;1890862;16489726620,8263
"20";2027-07-01;1890862;16549306291,2399
"21";2028-01-01;1890862;16487477708,9024
"22";2028-07-01;1890862;16498733325,8761
"23";2029-01-01;1890862;16492143001,8393
"24";2029-07-01;1890862;16563494552,63
"25";2030-01-01;1890862;16411995047,453
"26";2030-07-01;1890862;16353410423,6673
